bedrooms,bathrooms,sqft_living,sqft_living_carre,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_above_carre,sqft_basement,sqft_basement_carre,zipcode,sqft_living15,sqft_lot15,month,price
3,3.5,3950,15602500,111078,1.5,0,0,3,9,2460,6051600,1490,2220100,98052,2480,88500,6,784000.0
3,2.5,2010,4040100,2287,2.0,0,0,3,8,1390,1932100,620,384400,98029,1690,1662,5,453246.0
4,3.5,2140,4579600,2278,3.0,0,0,3,9,2140,4579600,0,0,98107,1540,2285,1,675000.0
3,1.75,1320,1742400,17390,1.0,0,0,4,7,1320,1742400,0,0,98003,1550,19265,8,199000.0
4,1.75,2020,4080400,7840,1.0,0,0,3,7,1010,1020100,1010,1020100,98003,1750,8140,8,220000.0
4,2.25,2590,6708100,10002,1.0,0,0,4,8,1340,1795600,1250,1562500,98028,1550,10436,5,452000.0
2,1.0,1190,1416100,4440,1.0,0,0,3,6,1190,1416100,0,0,98125,1060,5715,7,382500.0
3,2.25,1170,1368900,1249,3.0,0,0,3,8,1170,1368900,0,0,98107,1350,1310,5,519950.0
2,1.0,1110,1232100,3200,1.0,0,0,3,7,1110,1232100,0,0,98119,1170,3600,6,665000.0
5,2.5,2820,7952400,9375,1.0,0,0,4,8,1550,2402500,1270,1612900,98006,2820,9375,7,527700.0
3,1.0,1610,2592100,8579,1.0,0,0,4,7,1010,1020100,600,360000,98058,1610,8579,5,205000.0
3,1.0,1060,1123600,8097,1.0,0,0,4,7,940,883600,120,14400,98133,1560,7940,4,420000.0
4,2.25,2030,4120900,8517,1.0,0,0,4,8,1380,1904400,650,422500,98006,2230,8824,2,500000.0
4,2.5,3670,13468900,315374,2.0,0,0,4,9,3670,13468900,0,0,98077,2840,87991,12,921500.0
4,1.0,2550,6502500,4000,2.0,0,0,3,8,2370,5616900,180,32400,98109,2200,4000,6,890000.0
2,2.5,2420,5856400,60984,2.0,0,0,3,7,2420,5856400,0,0,98027,1940,193842,8,430000.0
5,2.0,2260,5107600,12500,1.0,0,0,4,8,1130,1276900,1130,1276900,98032,1360,18000,10,258000.0
3,1.0,1430,2044900,3455,1.0,0,0,3,7,980,960400,450,202500,98103,1450,4599,11,511000.0
3,2.0,1360,1849600,3090,2.0,0,0,3,8,1360,1849600,0,0,98103,1500,3090,8,532170.0
3,1.0,1110,1232100,5000,1.5,0,0,3,7,1110,1232100,0,0,98107,1420,5000,4,560000.0
3,1.0,1250,1562500,8200,1.0,0,0,4,7,1250,1562500,0,0,98003,1680,8633,3,282950.0
4,3.25,5180,26832400,19850,2.0,0,3,3,12,3540,12531600,1640,2689600,98006,3160,9750,4,2250000.0
1,1.0,700,490000,5100,1.0,0,0,3,7,700,490000,0,0,98115,1010,5100,5,350000.0
3,1.0,1180,1392400,7669,1.0,0,0,4,7,1180,1392400,0,0,98058,1190,7669,7,215000.0
5,3.5,3960,15681600,25245,2.0,0,0,3,9,2500,6250000,1460,2131600,98056,2640,13675,11,650000.0
4,2.75,2640,6969600,7500,1.0,0,0,3,8,1620,2624400,1020,1040400,98023,1980,7875,8,320000.0
3,2.0,1270,1612900,7198,1.5,0,0,3,7,1270,1612900,0,0,98022,1160,7198,11,247000.0
4,1.75,1760,3097600,11180,1.0,0,0,4,8,1760,3097600,0,0,98059,1730,11180,10,320000.0
5,2.25,2060,4243600,8632,1.0,0,0,3,7,1030,1060900,1030,1060900,98146,1010,11680,5,255000.0
3,1.75,1780,3168400,9660,1.0,0,0,3,7,1780,3168400,0,0,98034,1200,9660,3,438000.0
3,2.5,3400,11560000,16603,2.0,0,0,3,10,3400,11560000,0,0,98075,3400,12601,3,900000.0
3,2.75,1910,3648100,7280,1.0,0,0,3,7,1160,1345600,750,562500,98034,1710,8152,6,441000.0
3,2.0,2020,4080400,38332,1.0,0,0,4,7,1010,1020100,1010,1020100,98027,2110,36590,8,420000.0
3,1.75,1580,2496400,7000,1.0,0,0,3,7,1180,1392400,400,160000,98034,1640,7500,12,370000.0
2,1.75,1340,1795600,7250,1.0,0,0,5,5,700,490000,640,409600,98198,1830,9750,2,269950.0
4,2.5,2680,7182400,4499,2.0,0,0,3,9,2680,7182400,0,0,98006,2920,4500,3,807100.0
3,2.5,2680,7182400,9750,1.0,0,0,4,8,1610,2592100,1070,1144900,98034,2480,8750,6,653000.0
3,2.0,1370,1876900,8336,1.0,0,0,5,7,1370,1876900,0,0,98133,1770,7288,6,371500.0
3,1.75,1560,2433600,21000,1.0,0,0,3,7,1560,2433600,0,0,98166,1070,7920,3,284000.0
3,1.75,2160,4665600,7140,1.0,0,0,4,7,1670,2788900,490,240100,98023,1930,7350,1,272000.0
3,1.5,1340,1795600,7912,1.5,0,0,3,7,1340,1795600,0,0,98133,1480,7940,5,313000.0
4,2.5,3880,15054400,35003,2.0,0,0,3,10,2570,6604900,1310,1716100,98033,3740,35230,1,917500.0
4,2.25,2590,6708100,8190,2.0,0,0,4,8,2590,6708100,0,0,98006,2260,8335,9,673000.0
3,2.5,1120,1254400,1100,2.0,0,0,3,8,820,672400,300,90000,98122,1590,1795,2,425000.0
5,2.75,1970,3880900,5400,1.0,0,0,3,7,1320,1742400,650,422500,98144,1280,2150,7,399950.0
3,1.0,1220,1488400,4800,1.0,0,0,3,6,1220,1488400,0,0,98122,1200,4800,5,385000.0
3,1.5,1950,3802500,7560,1.0,0,2,4,7,1320,1742400,630,396900,98022,1950,8941,11,269950.0
2,1.0,1350,1822500,8220,1.0,0,0,3,7,1060,1123600,290,84100,98177,1540,8280,1,330000.0
3,2.5,1670,2788900,5797,2.0,0,0,3,7,1670,2788900,0,0,98030,1670,6183,7,260000.0
4,3.0,2380,5664400,5125,1.5,0,0,4,7,1680,2822400,700,490000,98126,1410,5375,4,470000.0
4,3.0,2440,5953600,9600,2.0,0,0,5,7,2440,5953600,0,0,98034,2290,9600,6,589000.0
2,1.5,1050,1102500,3419,2.0,0,0,3,7,1050,1102500,0,0,98038,1050,3417,7,163500.0
4,2.75,3130,9796900,13412,2.0,0,0,3,9,2140,4579600,990,980100,98052,2260,9984,9,835000.0
5,3.0,4090,16728100,12850,1.0,0,2,4,10,2090,4368100,2000,4000000,98033,2540,10270,11,1095000.0
4,1.75,1490,2220100,10000,1.0,0,0,4,8,1100,1210000,390,152100,98023,2190,8910,4,269000.0
3,2.5,1900,3610000,8744,2.0,0,0,3,8,1900,3610000,0,0,98074,2030,8744,5,560000.0
4,1.0,1330,1768900,2400,1.5,0,0,4,6,1330,1768900,0,0,98103,1330,4400,4,615000.0
3,2.25,2230,4972900,10026,1.0,0,0,3,8,1430,2044900,800,640000,98052,2230,9340,12,585188.0
3,1.75,1650,2722500,9480,1.0,0,0,3,7,1220,1488400,430,184900,98034,1540,8400,8,305000.0
3,1.0,1190,1416100,8820,1.0,0,0,3,6,1190,1416100,0,0,98058,1230,7980,11,166950.0
3,2.5,2140,4579600,9897,1.0,0,0,4,8,2140,4579600,0,0,98040,2680,10083,9,799000.0
3,2.5,2180,4752400,7508,1.0,0,0,4,7,1420,2016400,760,577600,98133,1900,7818,6,400000.0
3,1.0,1060,1123600,10228,1.0,0,0,3,7,1060,1123600,0,0,98155,1570,10228,12,230000.0
3,2.5,1690,2856100,5025,2.0,0,0,3,8,1690,2856100,0,0,98023,2550,5001,5,256883.0
4,2.0,1970,3880900,6480,1.5,0,0,5,7,1130,1276900,840,705600,98108,1500,6480,11,423000.0
3,2.5,2150,4622500,4084,2.0,0,0,3,8,2150,4622500,0,0,98126,1750,2385,7,465000.0
3,2.5,1910,3648100,66211,2.0,0,0,3,7,1910,3648100,0,0,98024,2330,67268,1,440000.0
3,1.75,1350,1822500,155073,1.0,0,0,4,7,1350,1822500,0,0,98038,1560,50965,10,385000.0
3,1.0,860,739600,11725,1.0,0,0,4,6,860,739600,0,0,98056,1300,9514,3,210000.0
3,2.5,1940,3763600,14952,2.0,0,0,3,8,1940,3763600,0,0,98042,2030,10450,11,297000.0
3,1.0,1010,1020100,5000,1.0,0,0,3,7,1010,1020100,0,0,98107,1680,5000,7,470000.0
3,1.5,1300,1690000,7370,1.0,0,0,4,7,900,810000,400,160000,98023,1430,7500,8,226500.0
3,1.0,910,828100,8450,1.0,0,0,4,6,910,828100,0,0,98059,1400,8040,3,274250.0
4,1.75,2480,6150400,11010,1.0,0,0,4,9,1630,2656900,850,722500,98040,2770,10744,8,840000.0
3,2.5,2440,5953600,4587,2.0,0,0,3,8,2440,5953600,0,0,98052,2750,4587,9,677900.0
3,1.0,1010,1020100,5864,1.0,0,0,3,7,1010,1020100,0,0,98116,1290,5000,2,425000.0
2,0.75,900,810000,9600,1.0,0,0,3,6,900,810000,0,0,98166,1250,14280,11,180250.0
6,3.0,2300,5290000,3404,2.0,0,0,3,7,1600,2560000,700,490000,98133,1560,1312,7,464000.0
4,2.25,1550,2402500,7579,2.0,0,0,3,8,1550,2402500,0,0,98038,1630,6397,4,320000.0
3,2.25,1270,1612900,1566,2.0,0,0,3,8,1060,1123600,210,44100,98105,1160,1327,7,625504.0
4,2.5,2240,5017600,12032,1.0,0,0,3,9,2240,5017600,0,0,98074,2520,12368,5,592500.0
3,2.5,2714,7365796,17936,2.0,0,0,3,9,2714,7365796,0,0,98001,2590,18386,1,465000.0
4,2.75,1720,2958400,6270,2.0,0,0,3,8,1720,2958400,0,0,98118,2130,8700,5,477000.0
2,1.0,850,722500,16400,1.0,0,0,3,6,850,722500,0,0,98168,1100,14459,1,280000.0
5,3.0,3300,10890000,33474,1.0,0,3,3,9,1870,3496900,1430,2044900,98040,3836,20953,2,1505000.0
3,2.5,2250,5062500,5692,2.0,0,0,3,8,2250,5062500,0,0,98146,1320,5390,7,445838.0
2,2.25,3900,15210000,14864,1.0,0,3,3,8,1950,3802500,1950,3802500,98144,2580,5184,8,1072000.0
2,1.5,1320,1742400,10800,1.0,0,0,4,8,1320,1742400,0,0,98177,2120,12040,10,467000.0
4,2.5,2760,7617600,6440,2.0,0,0,3,10,2760,7617600,0,0,98075,3070,8127,8,686000.0
3,2.0,1750,3062500,9750,1.0,0,0,3,7,1350,1822500,400,160000,98198,1900,10125,6,279950.0
4,2.25,2330,5428900,19436,2.0,0,0,3,8,2330,5428900,0,0,98011,1910,10055,9,527000.0
3,2.25,2220,4928400,16020,1.0,0,0,4,8,1780,3168400,440,193600,98030,2080,9583,9,325000.0
3,2.25,2020,4080400,8379,2.0,0,0,3,7,2020,4080400,0,0,98038,2020,8031,9,328000.0
3,2.25,1250,1562500,7500,1.0,0,0,5,7,1250,1562500,0,0,98146,1280,7392,6,390000.0
2,2.0,1510,2280100,6516,1.0,0,0,3,8,1510,2280100,0,0,98053,1640,6009,3,479950.0
4,2.25,1720,2958400,9753,1.0,0,0,4,7,1120,1254400,600,360000,98023,1510,9753,5,264950.0
3,1.0,1430,2044900,15246,1.0,0,0,4,7,980,960400,450,202500,98031,1960,13068,1,235000.0
3,2.5,1480,2190400,4729,2.0,0,0,3,7,1480,2190400,0,0,98053,2250,4729,3,516500.0
2,1.75,1450,2102500,15798,2.0,1,4,3,7,1230,1512900,220,48400,98166,2030,13193,4,655000.0
4,2.75,2280,5198400,15347,1.0,0,0,5,7,2280,5198400,0,0,98059,2280,15347,6,500000.0
6,2.75,2940,8643600,7350,1.0,0,0,3,8,1780,3168400,1160,1345600,98023,2120,8236,11,315000.0
2,1.0,1000,1000000,10200,1.0,0,0,3,6,1000,1000000,0,0,98024,1150,13702,11,213000.0
3,1.5,2480,6150400,5280,1.5,0,0,5,7,1620,2624400,860,739600,98108,2090,4800,9,475000.0
5,4.0,3760,14137600,28040,2.0,0,0,3,10,3760,14137600,0,0,98033,3430,35096,6,1025000.0
3,2.0,2220,4928400,94300,1.0,0,0,5,7,1640,2689600,580,336400,98010,2070,80100,4,416000.0
4,1.0,1970,3880900,4740,1.5,0,0,3,7,1670,2788900,300,90000,98122,1510,4740,3,410000.0
3,3.5,3830,14668900,221284,2.0,0,0,3,10,3530,12460900,300,90000,98077,2920,148539,7,800000.0
6,2.5,4410,19448100,14034,1.0,0,2,4,9,2350,5522500,2060,4243600,98003,2600,13988,5,472000.0
3,1.75,1430,2044900,8505,1.0,0,0,4,7,1430,2044900,0,0,98003,1190,8640,12,225000.0
2,1.0,830,688900,6000,1.0,0,0,3,6,830,688900,0,0,98126,830,4960,10,210000.0
2,1.0,1430,2044900,5000,1.5,0,0,2,7,1430,2044900,0,0,98115,1450,3750,1,455000.0
3,1.0,1300,1690000,8316,1.0,0,0,4,6,1300,1690000,0,0,98002,1260,8316,4,225000.0
2,1.0,1030,1060900,3060,1.0,0,2,4,7,790,624100,240,57600,98103,1390,3060,8,480000.0
3,2.5,2740,7507600,11872,2.0,0,0,3,9,2740,7507600,0,0,98023,2570,10377,2,363000.0
4,2.5,3650,13322500,8354,1.0,1,4,3,9,1830,3348900,1820,3312400,98074,3120,18841,9,2400000.0
2,1.5,720,518400,5120,1.0,0,0,3,6,720,518400,0,0,98106,1150,2566,2,181000.0
