sqft_living,grade,sqft_above,bathrooms,quartier,view,sqft_basement,bedrooms,waterfront,floors
1600,8,1250,1.5,0,0,350,3,0,1.5
2310,8,1330,2.75,0,2,980,4,0,1.0
2500,7,1730,1.5,0,0,770,3,0,1.5
750,6,750,1.0,0,0,0,1,0,1.0
1320,6,660,2.5,0,0,660,3,0,1.0
680,5,680,1.0,0,0,0,2,0,1.0
3940,9,3440,3.25,0,3,500,4,0,2.0
2020,8,1350,3.0,0,0,670,2,0,1.0
3320,10,3320,3.75,1,0,0,4,0,2.0
990,6,990,1.0,0,0,0,3,0,1.0
2490,7,1400,2.25,0,1,1090,4,0,1.0
1600,8,1600,2.5,0,0,0,3,0,2.0
1820,7,1320,2.25,0,0,500,3,0,1.0
3780,8,3780,2.5,0,0,0,4,0,2.0
1370,7,1110,2.0,0,0,260,3,0,1.0
1010,7,1010,1.0,0,0,0,3,0,1.0
2200,8,2200,2.5,0,0,0,3,0,2.0
800,7,800,1.0,0,0,0,2,0,1.0
2050,7,1470,2.0,0,0,580,5,0,1.5
2240,8,2240,2.75,0,0,0,4,0,1.5
1650,7,1650,1.5,0,0,0,4,0,1.5
970,7,970,1.0,0,0,0,3,0,1.0
1600,8,1600,2.5,0,0,0,3,0,2.0
2060,7,1310,2.75,0,0,750,4,0,1.0
1720,7,1160,2.0,0,0,560,3,0,1.0
2360,7,1780,3.0,0,1,580,3,0,2.0
880,8,880,1.0,0,0,0,2,0,2.0
1830,8,1300,1.75,0,0,530,3,0,1.0
1350,7,1350,1.5,0,0,0,3,0,1.0
3400,8,3400,2.5,0,1,0,5,0,2.0
1980,8,1980,3.0,0,0,0,4,0,2.5
1630,7,1630,2.0,0,0,0,3,0,1.0
2820,8,2820,2.25,0,0,0,3,0,2.0
1870,7,970,1.75,0,0,900,3,0,1.0
3020,9,2540,2.5,0,0,480,4,0,2.0
3450,10,3450,3.0,0,0,0,3,0,2.0
1600,6,1600,1.5,0,0,0,4,0,2.0
1300,6,1300,1.0,0,0,0,3,0,1.0
1070,6,1070,1.75,0,0,0,3,0,1.0
2940,10,2940,2.5,0,0,0,4,0,2.0
1870,8,1870,2.0,0,0,0,3,0,1.0
3510,8,2210,2.0,0,2,1300,4,0,1.0
2500,8,1500,1.75,1,0,1000,4,0,1.0
3730,9,2230,3.0,0,0,1500,3,0,1.5
1610,8,1610,2.0,0,0,0,3,0,1.0
2880,7,2080,2.0,0,0,800,3,0,1.5
1590,8,1590,1.75,0,0,0,3,0,1.0
1170,8,1170,1.5,0,0,0,2,0,3.0
2270,8,1720,2.25,1,0,550,4,0,1.0
3150,9,3150,2.5,0,0,0,4,0,2.0
2440,8,1890,3.0,0,0,550,4,0,2.0
1260,7,1260,1.0,0,0,0,3,0,1.0
1070,7,1070,1.75,0,0,0,3,0,1.0
1670,8,1670,1.75,0,0,0,4,0,1.0
3100,9,3100,2.5,0,0,0,4,0,2.0
860,6,860,1.0,0,0,0,2,0,1.0
1320,7,1320,1.5,0,0,0,3,0,1.0
2010,7,1450,2.0,0,0,560,2,0,1.5
2260,7,1200,1.5,0,0,1060,3,0,1.0
1340,6,1340,2.0,0,0,0,3,0,1.0
2510,9,2510,2.5,0,2,0,4,0,2.0
2410,7,1220,1.75,0,0,1190,4,0,1.0
1990,7,1990,1.5,0,4,0,3,1,1.5
1010,6,1010,1.0,0,0,0,3,0,1.0
2240,7,2240,2.5,0,0,0,3,0,2.0
2150,8,2150,2.5,0,0,0,3,0,2.0
1280,6,920,1.0,0,0,360,3,0,1.0
2060,8,2060,1.5,0,0,0,3,0,1.0
2130,8,1570,2.25,0,0,560,3,0,1.0
2430,8,2430,2.25,1,0,0,4,0,2.0
1160,7,1160,2.0,0,0,0,3,0,1.0
2320,7,2320,2.5,0,0,0,4,0,2.0
2490,10,2490,3.0,0,4,0,3,1,2.0
900,6,900,1.0,0,0,0,1,0,1.0
2840,8,1780,2.25,0,0,1060,4,0,1.0
1630,7,1160,1.5,0,1,470,3,0,1.0
1630,7,1630,2.25,0,0,0,3,0,2.0
1240,6,960,1.0,0,0,280,2,0,1.0
2240,8,1620,1.5,0,0,620,3,0,1.0
3440,10,2190,2.25,1,3,1250,3,0,2.0
960,6,960,1.0,0,0,0,2,0,1.0
990,4,990,1.0,0,0,0,2,0,1.0
1690,8,1690,2.5,0,0,0,3,0,2.5
3370,8,1770,2.5,0,0,1600,6,0,1.0
1620,7,1290,2.0,0,0,330,3,0,1.0
3010,9,2570,2.75,0,2,440,4,0,2.0
2820,9,2820,2.5,0,0,0,4,0,2.0
2290,9,1650,1.75,0,0,640,3,0,1.0
1590,7,1590,2.0,0,0,0,4,0,1.5
2170,8,1450,1.75,0,0,720,3,0,1.0
1640,7,1640,1.75,0,0,0,3,0,1.0
2090,8,1450,3.0,0,0,640,3,0,1.0
3150,10,3150,2.5,0,0,0,3,0,2.0
2170,8,1290,2.75,0,0,880,4,0,1.0
1130,7,1130,1.5,0,0,0,3,0,1.0
3670,10,2530,2.5,0,4,1140,3,0,1.0
2100,8,2100,1.75,0,0,0,4,0,2.0
3300,8,3300,4.5,0,0,0,6,0,2.0
1530,7,1530,1.0,0,0,0,3,0,1.0
2740,10,2740,2.5,0,0,0,4,0,2.0
1250,7,1250,1.0,0,0,0,3,0,1.0
3240,9,3240,2.5,1,0,0,4,0,2.0
2410,8,1550,2.5,0,0,860,4,0,1.0
1610,8,1610,2.0,0,2,0,3,0,2.0
3270,8,1690,2.5,0,0,1580,4,0,1.0
1310,7,1310,1.0,0,0,0,3,0,1.0
1770,7,1030,1.75,0,0,740,3,0,1.0
990,6,990,1.0,0,0,0,3,0,1.0
2280,8,1360,1.75,0,3,920,3,0,1.0
2060,7,1350,1.75,0,0,710,3,0,1.0
1060,7,1060,1.0,0,0,0,3,0,1.0
1620,8,1620,1.75,0,0,0,4,0,1.0
2090,7,1790,1.5,0,0,300,3,0,1.0
1320,7,1320,2.25,0,0,0,3,0,2.0
1300,7,1300,1.5,0,0,0,3,0,1.5
2260,10,2260,2.5,0,0,0,3,0,2.0
3800,10,3800,3.25,1,0,0,4,0,2.0
1440,7,1050,1.75,0,0,390,3,0,1.0
1470,8,1470,2.0,0,0,0,3,0,1.0
2770,7,1470,1.75,1,0,1300,4,0,1.0
2020,7,2020,2.5,0,0,0,4,0,2.0
2110,6,1080,2.0,0,0,1030,3,0,1.0
1250,7,1250,1.75,0,0,0,3,0,1.0
3160,7,1870,2.0,0,0,1290,5,0,1.5
1760,8,1760,1.75,0,0,0,4,0,1.0
1810,8,1370,1.75,0,0,440,3,0,1.0
1070,7,1070,1.0,0,0,0,2,0,1.0
1250,7,1250,1.75,0,0,0,3,0,1.0
5770,11,5770,4.25,1,4,0,4,1,2.0
2280,7,2280,2.5,0,0,0,4,0,2.0
960,6,960,1.0,0,0,0,2,0,1.0
1640,7,1060,2.0,0,0,580,3,0,1.0
2110,7,2110,2.5,0,0,0,3,0,1.0
2990,8,2090,2.75,0,0,900,4,0,1.5
3990,10,2300,3.5,0,2,1690,4,0,1.0
1980,8,1980,2.5,0,2,0,3,0,3.0
1240,7,1240,1.5,0,0,0,3,0,1.0
2420,8,1220,2.75,0,0,1200,4,0,1.0
2930,8,2930,2.5,0,0,0,4,0,2.0
1380,8,1160,2.5,0,0,220,3,0,2.0
2670,7,1640,2.25,0,0,1030,3,0,1.0
1500,6,1500,1.0,0,0,0,3,0,1.0
840,7,840,1.0,0,2,0,2,0,1.0
2120,8,1640,1.75,0,0,480,4,0,1.0
1670,8,1670,2.25,0,3,0,3,0,1.5
1880,7,1090,1.75,0,0,790,4,0,1.5
1710,7,1360,1.75,0,0,350,3,0,1.0
1470,7,930,2.5,0,0,540,3,0,1.0
1720,7,1720,1.75,0,0,0,3,0,1.0
2940,9,2230,3.0,0,0,710,3,0,2.0
2290,8,1390,1.75,0,0,900,3,0,1.0
1350,7,1350,1.5,0,0,0,3,0,1.0
1290,7,1290,1.75,0,0,0,3,0,1.0
2840,9,2200,2.75,0,0,640,3,0,1.0
2640,7,2640,2.5,0,0,0,4,0,2.0
1820,7,1690,1.75,0,3,130,4,0,1.5
1130,7,1130,1.0,0,0,0,2,0,1.0
3190,9,3190,2.75,0,0,0,4,0,2.0
2350,7,1340,3.5,0,2,1010,3,0,1.0
1260,6,720,1.0,0,0,540,3,0,1.0
1690,7,1690,1.0,0,0,0,4,0,1.5
2340,8,1590,1.75,0,0,750,4,0,1.0
2780,10,2780,2.5,0,0,0,3,0,1.0
980,7,980,1.0,0,0,0,2,0,1.0
1020,7,1020,1.5,0,0,0,3,0,1.0
1810,7,1810,2.5,0,0,0,0,0,2.0
1690,7,1690,1.0,0,0,0,3,0,1.0
1670,8,1670,1.0,0,0,0,5,0,1.5
1700,6,970,2.0,0,0,730,3,0,1.0
3910,9,2890,3.0,1,0,1020,5,0,1.0
1810,7,1030,1.5,0,0,780,3,0,1.0
2830,8,1430,2.75,0,0,1400,6,0,1.0
5780,11,4130,4.0,1,0,1650,4,0,2.0
2180,8,1380,1.75,0,2,800,3,0,1.0
2670,8,2020,3.75,0,4,650,3,0,2.5
960,6,960,1.0,0,0,0,3,0,1.0
2020,7,1010,2.0,0,0,1010,3,0,1.0
2780,8,2110,2.5,0,1,670,3,0,1.5
1120,5,860,1.0,0,0,260,4,0,1.0
1850,7,1850,1.0,0,0,0,3,0,1.5
1760,7,1760,1.75,0,3,0,3,0,1.5
1510,7,1510,1.75,0,0,0,4,0,1.5
1290,8,1290,2.0,0,0,0,3,0,3.0
1960,8,1960,2.25,0,0,0,4,0,2.0
1190,6,1190,2.0,0,0,0,3,0,1.5
1630,7,1630,2.0,0,0,0,3,0,1.0
1870,7,1870,2.5,0,0,0,3,0,2.0
2060,7,2060,2.5,0,0,0,4,0,2.0
1740,7,1740,1.75,0,0,0,4,0,1.0
2290,8,1890,3.0,0,0,400,3,0,2.5
2950,10,2270,3.5,0,0,680,4,0,2.0
2020,7,1070,2.5,0,0,950,4,0,1.0
1970,8,1970,2.5,0,0,0,3,0,2.0
1000,7,1000,1.0,0,0,0,3,0,1.0
1740,8,1310,3.5,0,3,430,3,0,2.0
2240,8,1460,2.75,1,0,780,4,0,1.0
1470,7,1470,2.5,0,0,0,3,0,2.0
3730,10,3730,2.5,1,0,0,4,0,2.0
4720,11,3210,4.25,0,0,1510,5,0,2.0
900,7,900,1.0,0,0,0,2,0,1.0
1610,7,1090,1.0,0,0,520,3,0,1.0
2100,7,1240,2.5,0,2,860,4,0,1.0
2620,7,1400,2.5,0,0,1220,5,0,1.0
3230,9,3230,2.5,0,0,0,4,0,2.0
2420,8,2420,2.5,0,0,0,3,0,2.0
1810,7,1810,2.5,0,0,0,3,0,3.0
970,6,970,1.0,0,0,0,2,0,1.0
2000,6,1150,2.5,0,0,850,5,0,1.0
1390,7,1390,1.0,0,0,0,3,0,1.5
1260,8,1260,2.5,0,0,0,3,0,2.0
880,5,880,1.0,0,0,0,3,0,1.0
1100,7,1100,1.0,0,0,0,2,0,1.0
1730,7,1730,3.0,0,0,0,3,0,3.0
2170,9,1650,3.25,1,0,520,3,0,1.5
1750,7,1750,1.0,0,0,0,4,0,1.0
1870,8,1870,2.5,0,0,0,3,0,2.0
3950,11,3950,3.5,1,0,0,4,0,2.0
1490,7,1490,1.0,0,0,0,3,0,1.0
1900,8,1900,2.5,0,0,0,3,0,2.0
3410,9,2680,3.0,0,2,730,4,0,2.0
1310,7,1310,1.75,0,0,0,3,0,2.0
2550,10,2550,2.5,0,2,0,3,0,2.0
2980,8,1800,2.5,0,4,1180,4,1,1.5
1320,7,1320,1.75,0,0,0,2,0,1.5
2190,7,1260,2.0,0,2,930,3,0,1.0
3350,8,2550,2.5,0,0,800,3,0,2.0
1290,7,1290,1.75,0,0,0,3,0,1.0
1470,8,1470,2.5,0,0,0,2,0,2.0
2730,8,2000,3.5,0,0,730,4,0,2.0
1620,6,1620,2.5,0,2,0,3,0,1.0
740,6,740,1.0,0,0,0,2,0,1.0
1230,7,1230,1.0,0,0,0,3,0,1.0
2110,8,2110,2.5,0,0,0,4,0,2.0
3060,8,3060,3.0,0,0,0,4,0,2.0
1340,7,1340,1.5,1,0,0,3,0,1.0
1750,5,1750,2.0,0,0,0,3,0,1.5
3040,9,2320,2.75,0,3,720,4,0,2.0
2660,7,2660,1.5,0,0,0,7,0,1.5
2390,8,1740,2.25,1,0,650,4,0,1.0
1130,6,1130,1.0,0,0,0,2,0,1.5
1750,7,1750,2.5,0,0,0,3,0,2.0
1870,7,1120,2.0,0,0,750,3,0,1.0
1510,7,1510,1.0,0,0,0,3,0,1.0
1300,7,1300,1.0,0,0,0,2,0,1.0
2740,8,2740,2.5,0,0,0,4,0,2.0
3350,8,2610,3.5,0,2,740,4,0,2.0
980,7,980,1.0,0,0,0,2,0,1.0
1150,7,1150,1.0,0,0,0,3,0,1.0
2120,7,1380,1.75,0,0,740,3,0,1.0
1580,6,800,2.0,0,0,780,3,0,1.0
5450,11,5450,5.0,1,0,0,5,0,2.0
6040,11,4100,4.5,0,0,1940,6,0,2.0
1820,7,1120,2.0,0,0,700,3,0,1.0
1170,8,1070,1.5,0,0,100,1,0,2.0
1120,7,1120,1.75,0,0,0,3,0,1.5
2010,6,2010,2.0,0,0,0,3,0,2.0
2620,9,2620,2.75,1,1,0,3,0,1.0
1910,8,1910,2.5,0,0,0,4,0,3.0
830,7,830,1.5,0,0,0,2,0,2.0
2270,9,2270,2.5,0,0,0,4,0,2.0
2120,9,2120,2.5,0,1,0,3,0,1.0
3780,9,3110,3.5,0,0,670,4,0,2.0
2340,8,2340,2.5,1,0,0,4,0,1.0
2700,9,2700,1.5,0,0,0,4,0,1.5
1340,7,1340,1.0,0,0,0,4,0,1.0
1340,8,940,2.5,0,0,400,2,0,2.0
1580,7,1580,1.75,0,0,0,3,0,1.0
2310,7,1410,2.75,0,0,900,4,0,1.0
1340,7,1340,2.0,0,0,0,3,0,1.5
2575,8,2575,2.5,0,0,0,4,0,2.0
3790,10,2530,3.75,1,0,1260,4,0,2.0
910,7,910,1.0,0,0,0,2,0,1.0
900,6,900,1.0,0,0,0,1,0,1.0
2490,8,2490,2.25,1,0,0,3,0,2.0
2120,8,2120,2.5,0,0,0,4,0,2.0
1788,7,1788,2.5,0,0,0,4,0,2.0
2900,8,1890,3.25,0,0,1010,5,0,1.0
1800,7,1200,1.0,0,0,600,2,0,1.0
2700,7,1350,2.5,0,3,1350,3,0,1.0
2790,10,2790,2.75,0,0,0,4,0,2.0
860,6,860,1.0,0,0,0,3,0,1.0
2760,8,2760,3.5,0,0,0,5,0,2.5
770,6,770,1.0,0,0,0,2,0,1.0
2190,8,1800,2.25,0,0,390,4,0,2.0
2380,8,2380,2.25,0,0,0,4,0,1.0
1740,8,1740,2.5,0,0,0,3,0,2.0
1396,7,1396,1.0,0,0,0,2,0,1.0
1810,7,1350,2.5,0,0,460,3,0,2.0
2250,8,2250,2.5,0,0,0,4,0,2.0
940,5,940,1.0,0,0,0,2,0,1.0
2440,8,1480,2.5,1,0,960,4,0,1.0
1160,8,1160,2.5,0,0,0,2,0,3.0
3160,8,3160,3.25,0,0,0,5,0,2.0
1780,7,1060,2.25,0,0,720,4,0,1.0
1710,8,1570,2.5,0,0,140,3,0,2.0
2450,8,1540,1.75,0,2,910,3,0,1.0
1000,7,1000,1.0,0,0,0,3,0,1.0
1580,8,1580,2.5,0,0,0,3,0,2.0
2860,9,2860,2.5,0,0,0,4,0,2.0
2020,7,2020,1.5,0,0,0,4,0,2.0
2220,7,1390,2.0,0,0,830,5,0,1.5
1600,7,1600,2.5,0,0,0,3,0,2.0
2150,7,1110,1.75,0,0,1040,4,0,1.0
2310,8,2310,2.5,0,0,0,4,0,2.0
3980,11,3980,2.75,0,0,0,4,0,2.0
2400,7,1600,3.0,0,2,800,4,0,2.0
3550,10,3550,2.5,0,0,0,4,0,2.0
920,6,920,1.0,0,0,0,2,0,1.0
2920,8,2920,2.5,0,3,0,3,0,2.0
2000,6,2000,1.75,1,0,0,3,0,1.0
2510,8,1600,2.75,0,1,910,5,0,1.0
3700,11,3700,2.5,0,0,0,4,0,2.0
2610,9,2610,2.5,0,0,0,3,0,2.0
1650,8,1650,2.5,0,0,0,3,0,2.0
3490,9,3490,3.75,1,0,0,4,0,2.0
2220,8,2220,1.75,0,3,0,4,0,2.0
1210,7,1210,1.0,0,0,0,4,0,1.5
760,6,760,1.0,0,0,0,2,0,1.0
2530,9,2100,4.0,0,2,430,4,0,3.0
1710,7,910,1.75,0,0,800,4,0,1.0
2590,8,1720,2.0,0,0,870,3,0,1.0
2330,9,1920,3.0,0,0,410,4,0,2.0
2310,8,2310,2.5,0,0,0,3,0,2.0
1770,8,1160,1.5,1,0,610,3,0,1.0
1400,7,1400,1.75,0,0,0,3,0,1.0
3020,8,2840,4.0,0,4,180,6,1,2.0
1230,8,960,2.25,0,0,270,2,0,2.0
2520,8,1630,2.5,0,0,890,3,0,1.0
2340,9,2340,2.5,0,0,0,4,0,2.0
2320,7,1160,1.0,0,0,1160,3,0,1.0
2280,8,2280,2.5,0,0,0,4,0,2.0
1130,6,1130,1.0,0,0,0,2,0,1.0
3002,8,3002,2.5,0,0,0,4,0,2.0
2620,8,2620,2.75,0,0,0,4,0,2.0
2340,8,2340,2.5,0,0,0,4,0,2.0
2390,7,2390,1.5,0,2,0,4,0,1.5
1860,9,1860,3.25,0,0,0,4,0,2.0
1860,8,1860,2.5,0,0,0,3,0,2.0
3540,10,3540,2.5,0,0,0,3,0,2.0
1800,7,990,1.75,0,3,810,2,0,1.0
820,6,820,1.0,0,1,0,2,0,1.0
1170,7,1170,2.25,0,0,0,2,0,2.0
1620,7,1220,1.75,0,0,400,3,0,1.0
1690,8,1690,2.5,0,1,0,3,0,1.5
1620,7,1380,1.75,0,3,240,4,0,1.0
2440,8,1740,1.75,0,4,700,5,0,1.5
1400,7,1400,1.75,0,0,0,3,0,1.0
1780,8,1080,2.5,0,0,700,3,0,2.0
1380,7,1380,1.0,0,0,0,3,0,1.0
1680,8,1680,2.5,0,0,0,3,0,2.0
3870,9,3870,2.5,0,3,0,3,0,2.0
2980,11,2980,2.5,0,0,0,3,0,1.5
790,6,790,1.0,0,0,0,1,0,1.0
940,6,940,1.0,0,0,0,2,0,1.0
1490,7,1490,2.25,0,0,0,3,0,2.0
2830,7,1630,2.75,1,0,1200,5,0,1.0
1700,8,1700,2.5,1,0,0,4,0,2.0
2040,8,2040,2.5,0,0,0,4,0,2.0
2650,9,2650,2.5,0,0,0,4,0,2.0
1110,7,980,2.0,0,0,130,2,0,3.0
620,5,620,1.0,0,0,0,1,0,1.0
6260,11,4840,6.5,0,0,1420,6,0,2.0
1100,7,750,2.75,0,0,350,2,0,2.0
1650,7,950,1.0,0,0,700,2,0,1.0
1490,7,1220,2.25,0,0,270,3,0,2.0
2480,10,2480,2.5,0,0,0,4,0,2.0
1670,7,1670,2.25,0,0,0,3,0,2.0
3050,9,3050,2.5,0,0,0,3,0,1.0
1790,8,1790,2.5,0,0,0,2,0,2.0
2640,7,2080,2.25,0,0,560,4,0,2.0
1570,7,1570,1.0,0,0,0,3,0,1.0
1130,6,1130,1.0,0,0,0,3,0,1.0
2200,7,1100,1.75,0,0,1100,4,0,1.0
920,8,920,1.0,0,0,0,2,0,1.0
2790,8,1600,3.0,0,4,1190,3,1,2.0
2180,8,2180,2.75,0,0,0,4,0,2.0
3800,9,3800,2.75,0,0,0,4,0,2.0
2910,8,2910,2.5,0,0,0,4,0,2.0
1060,7,960,1.0,0,0,100,2,0,1.0
2350,8,1510,1.75,0,0,840,5,0,1.0
1320,8,1270,2.5,0,0,50,3,0,2.0
1290,6,890,1.0,0,0,400,2,0,1.0
2980,9,2980,2.5,0,2,0,4,0,2.0
2970,9,2970,2.5,0,0,0,4,0,2.0
3070,9,2030,3.5,0,0,1040,4,0,2.0
2310,8,2010,2.5,0,4,300,4,0,2.0
2080,8,1240,2.75,0,0,840,4,0,1.0
2155,8,2155,2.5,0,0,0,4,0,2.0
3940,9,3940,3.75,1,3,0,5,0,1.5
2360,6,1180,2.0,0,0,1180,4,0,1.0
1190,6,1190,1.0,0,0,0,3,0,1.0
1060,6,1060,1.0,0,2,0,2,0,1.0
1914,8,1914,2.5,0,0,0,4,0,2.0
1560,6,780,1.75,0,0,780,2,0,1.0
870,7,870,1.0,0,0,0,2,0,1.0
3380,8,3380,3.5,0,0,0,4,0,2.0
1240,6,1240,1.5,0,0,0,3,0,1.0
990,7,990,1.0,0,0,0,3,0,1.0
1780,8,1780,2.25,0,0,0,3,0,2.0
1440,7,1440,1.5,0,0,0,3,0,1.0
2390,9,1690,1.5,0,0,700,3,0,1.5
1460,8,1050,2.25,0,0,410,3,0,2.0
2810,8,1440,2.75,0,0,1370,5,0,1.0
960,7,960,1.0,0,0,0,3,0,1.0
3260,8,3260,2.75,0,0,0,5,0,2.0
1780,8,1420,1.75,0,0,360,3,0,1.0
3520,8,1530,1.75,0,4,1990,3,0,1.0
2730,8,2730,2.5,0,0,0,4,0,2.0
2220,8,2220,2.5,0,0,0,4,0,2.0
2850,8,2240,3.0,0,0,610,3,0,1.0
1710,8,1710,2.5,0,0,0,5,0,2.0
2300,7,1280,2.25,0,0,1020,4,0,1.0
3380,10,3380,2.5,1,0,0,4,0,2.0
2880,8,1920,2.25,0,4,960,3,0,2.0
3902,9,2782,4.5,0,4,1120,6,0,3.0
2170,7,2170,2.5,0,0,0,3,0,2.0
1360,7,1360,1.75,0,0,0,4,0,1.5
2050,7,1230,2.5,0,0,820,4,0,1.0
2740,8,1820,2.5,0,2,920,4,0,1.0
1400,6,1280,1.0,0,0,120,3,0,1.0
2230,8,2230,1.5,1,0,0,3,0,2.0
2760,9,2760,3.5,0,2,0,4,0,2.0
2000,8,2000,2.5,0,0,0,4,0,2.0
2470,7,1970,2.0,0,0,500,4,0,2.0
2020,7,1010,2.5,0,0,1010,4,0,1.0
1330,8,1120,3.0,0,0,210,3,0,2.0
1600,7,1600,2.25,0,0,0,4,0,2.0
990,7,990,1.0,0,0,0,3,0,1.0
1070,7,830,1.0,0,0,240,2,0,1.0
2250,9,1880,2.0,1,0,370,3,0,2.0
2150,7,2150,2.5,0,0,0,4,0,2.0
3490,9,1770,2.5,0,3,1720,3,0,1.0
1811,8,1811,2.5,0,0,0,4,0,2.0
1200,7,1200,1.5,0,0,0,3,0,1.0
1800,7,1800,2.5,0,0,0,3,0,2.0
1410,7,1410,1.0,0,0,0,5,0,1.0
5770,12,4500,4.75,1,3,1270,6,0,2.0
5040,10,3420,4.25,0,3,1620,4,0,1.0
3490,10,2290,2.5,0,4,1200,3,1,1.0
3130,9,3130,2.25,0,0,0,4,0,2.0
2560,8,1280,2.0,0,0,1280,4,0,1.0
3370,8,1770,2.5,0,0,1600,4,0,1.0
1720,7,1470,2.0,0,0,250,4,0,2.0
1310,7,1110,1.75,0,0,200,2,0,1.0
3360,9,3360,1.5,0,0,0,5,0,2.0
1256,7,1256,2.5,0,0,0,3,0,3.0
2020,10,1790,2.0,0,3,230,3,0,1.5
2010,8,1500,1.75,0,0,510,3,0,1.0
1650,7,1650,2.0,0,0,0,3,0,1.0
2680,7,1380,4.0,0,0,1300,4,0,1.0
1250,7,1250,1.0,0,0,0,3,0,1.0
2560,8,1610,2.5,0,0,950,4,0,2.0
2550,7,1300,1.75,0,0,1250,4,0,1.0
1250,7,1250,1.0,0,0,0,2,0,1.0
2040,7,2040,1.75,0,0,0,2,0,1.0
3920,7,2560,2.0,0,0,1360,5,0,1.5
1110,8,1110,1.5,0,0,0,2,0,3.0
2260,7,2260,3.5,0,0,0,4,0,2.0
1780,7,1780,2.5,0,0,0,4,0,2.0
1650,7,1650,2.0,0,0,0,3,0,2.0
2410,9,2220,3.5,0,4,190,6,0,2.0
2030,8,1550,2.75,0,0,480,4,0,1.0
1430,7,1430,2.25,0,0,0,3,0,2.0
2690,9,1890,2.25,0,0,800,4,0,2.0
1180,8,1180,1.75,0,0,0,3,0,1.0
1840,8,1040,1.5,0,0,800,2,0,1.0
3880,10,3880,3.0,1,0,0,5,0,2.0
900,6,900,1.0,0,0,0,3,0,1.0
2440,8,1320,1.75,0,3,1120,3,0,1.0
2940,8,1700,2.25,0,0,1240,5,0,1.0
2460,8,1720,2.25,0,0,740,4,0,1.0
3060,9,3060,2.5,0,0,0,4,0,2.0
2190,8,2190,2.0,0,0,0,4,0,2.5
2040,8,2040,2.5,0,0,0,4,0,2.0
